Exercise,Muscle Groups,Engagement Percentages,Equipment
single-leg-barbell-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%', '40.0%']",['Barbell']
childs-pose,"['back_lats', 'back_lower_back']","['100.0%', '100.0%']",['Bodyweight']
bodyweight-overhead-lunge-hold,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
landmine-rotary,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '100.0%']","['Landmine', 'Barbell']"
seated-dumbbell-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Dumbbell']
elevated-burpee,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '40.0%', '100.0%', '100.0%']",['Bench']
kettlebell-shrug,"['back_hamstrings', 'front_traps']","['100.0%', '100.0%']",['Kettlebell']
plank-reach,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
elevated-step-burpee,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%', '40.0%', '100.0%']",['Bodyweight']
lying-alt-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '100.0%']",['Bodyweight']
band-curl,['front_biceps'],['100.0%'],['Bands']
yoga-ball-plank-circle,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Yoga Ball']
seated-barbell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Barbell']
single-leg-barbell-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Barbell']
kettlebell-decline-bench-press,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']","['Bench', 'Kettlebell']"
elliptical,"['back_calves', 'back_glutes', 'back_lats', 'back_hamstrings', 'front_biceps', 'front_chest', 'front_hip_flexors', 'front_obliques', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%', '40.0%', '40.0%', '40.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
high-plank-reach-through-to-push-up,"['back_hamstrings', 'front_abs', 'front_chest', 'front_obliques', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '40.0%', '100.0%']",['Bodyweight']
spine-rotation-stretch,['back_lower_back'],['100.0%'],['Bodyweight']
jumping-jack,"['back_calves', 'back_hip_adductors', 'back_hamstrings', 'front_hip_adductors', 'front_shoulders']","['100.0%', '40.0%', '40.0%', '40.0%', '40.0%']",['Bodyweight']
half-dumbbell-burpee,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_abs', 'front_chest', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%', '100.0%', '100.0%', '40.0%']",['Dumbbell']
band-hammer-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Bands', 'Hammer']"
cable-pallof-punch,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']","['Cables', 'Dumbbell']"
seated-single-kettlebell-figure-8,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
barbell-box-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']","['Barbell', 'Box']"
decline-sit-up,['front_abs'],['100.0%'],['Bench']
kettlebell-incline-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Bench', 'Kettlebell']"
hurdler-stretch,"['back_hip_adductors', 'back_lower_back', 'back_hamstrings', 'front_hip_adductors']","['100.0%', '40.0%', '100.0%', '100.0%']",['Bodyweight']
dumbbell-sit-up,['front_abs'],['100.0%'],['Dumbbell']
kneeling-hip-rotation,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_hip_flexors']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
barbell-jump-squat,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '100.0%', '40.0%', '100.0%']",['Barbell']
barbell-half-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Barbell']
overhead-to-floor-stretch,['back_hamstrings'],['100.0%'],['Bodyweight']
dumbbell-alternating-lateral-front-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
cable-lumberjack-squat,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Cables']
med-ball-lumberjack-squat,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Medball']
yoga-ball-kettlebell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Kettlebell', 'Yoga Ball', 'Hammer']"
kettlebell-pistol-squat,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Kettlebell']
cable-vertical-to-horizontal-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
alternating-dumbbell-lateral-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
seated-kettlebell-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
yoga-ball-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '100.0%']",['Yoga Ball']
hex-bar-jump-squat,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '100.0%', '40.0%', '100.0%']",['Hex Bar']
dumbbell-skull-crusher,['back_hamstrings'],['100.0%'],"['Bench', 'Dumbbell']"
barbell-roll-out,"['back_lats', 'front_abs', 'front_obliques']","['40.0%', '100.0%', '40.0%']",['Barbell']
cable-upright-row,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '40.0%']",['Cables']
med-ball-sumo-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Medball']
single-arm-split-stance-incline-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Cables']
cable-glute-kickback,['back_glutes'],['100.0%'],['Cables']
bosu-cable-sit-up,['front_abs'],['100.0%'],"['Bosu', 'Cables']"
yoga-ball-band-reverse-curl,"['back_forearms', 'front_biceps', 'front_forearms']","['40.0%', '100.0%', '40.0%']","['Bands', 'Yoga Ball']"
kneeling-push-up,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Bodyweight']
trx-hamstring-curl,['back_hamstrings'],['100.0%'],['trx']
yoga-ball-high-balance,['front_abs'],['100.0%'],['Yoga Ball']
jump-rope,"['back_calves', 'front_quads']","['100.0%', '40.0%']",['Bodyweight']
barbell-close-grip-bench-press,"['back_hamstrings', 'front_chest']","['100.0%', '100.0%']","['Barbell', 'Bench']"
crab-walk,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bodyweight']
half-kneeling-single-kettlebell-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Kettlebell']
band-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bands', 'Bench']"
dumbbell-step-up-to-reverse-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']","['Box', 'Dumbbell']"
single-leg-kettlebell-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%', '40.0%']",['Kettlebell']
med-ball-reach-curl-forward-lunge,"['back_glutes', 'back_hamstrings', 'front_biceps', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']",['Medball']
med-ball-skull-crusher,['back_hamstrings'],['100.0%'],"['Bench', 'Medball']"
barbell-power-clean,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_traps']","['40.0%', '100.0%', '100.0%', '100.0%', '100.0%']",['Barbell']
trx-high-row,"['back_lats', 'back_hamstrings', 'front_shoulders', 'front_traps']","['40.0%', '100.0%', '100.0%', '40.0%']",['trx']
band-around-the-world,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bands']
med-ball-sumo-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%', '100.0%']",['Medball']
med-ball-overhead-row,['back_lats'],['100.0%'],['Medball']
single-kettlebell-lumberjack-squat,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Kettlebell']
barbell-hang-clean,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_traps']","['100.0%', '40.0%', '100.0%', '100.0%', '100.0%']",['Barbell']
standing-quad-stretch,['front_quads'],['100.0%'],['Bodyweight']
dumbbell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
single-kettlebell-russian-twist,"['front_abs', 'front_obliques']","['100.0%', '100.0%']",['Kettlebell']
single-arm-split-stance-cable-decline-press,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['Cables']
cable-decline-sit-up,['front_abs'],['100.0%'],"['Bench', 'Cables']"
single-kettlebell-side-plank-row,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Kettlebell']
yoga-ball-standing-rollout,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%']",['Yoga Ball']
cable-chest-fly,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Cables']
barbell-curl,['front_biceps'],['100.0%'],['Barbell']
band-wall-sit-with-curl,"['back_glutes', 'front_biceps', 'front_quads']","['40.0%', '100.0%', '100.0%']",['Bands']
single-arm-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
single-leg-med-ball-deadlift-to-press,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_biceps', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Medball']
dumbbell-walking-lunge,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Dumbbell']
kettlebell-overhead-lunge-hold,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Kettlebell']
kettlebell-reach-curl-forward-lunge,"['back_glutes', 'back_hamstrings', 'front_biceps', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']",['Kettlebell']
single-kettlebell-sumo-goblet-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
kettlebell-decline-sit-up,['front_abs'],['100.0%'],"['Bench', 'Kettlebell']"
half-kneeling-cable-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Cables']
walking-frankenstein,['back_hamstrings'],['100.0%'],['Bodyweight']
staggered-stance-dumbbell-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Dumbbell']
seated-band-hammer-curl,['front_biceps'],['100.0%'],"['Bands', 'Hammer']"
seated-kettlebell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Kettlebell', 'Hammer']"
dumbbell-single-leg-wall-sit,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Dumbbell']
band-tricep-pushdown,['back_hamstrings'],['100.0%'],['Bands']
single-leg-dumbbell-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Dumbbell']
cable-row-to-x,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '40.0%']",['Cables']
dumbbell-floor-overhead-row,['back_lats'],['100.0%'],['Dumbbell']
bodyweight-overhead-lunge,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
kettlebell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Kettlebell', 'Hammer']"
single-arm-cable-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Cables']
kettlebell-wrist-curl-extension,"['back_forearms', 'front_forearms']","['100.0%', '100.0%']",['Kettlebell']
dumbbell-russian-twist,"['front_abs', 'front_obliques']","['100.0%', '100.0%']",['Dumbbell']
very-incline-wide-push-up,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Bodyweight']
dumbbell-half-off-bench-press,"['back_hamstrings', 'front_abs', 'front_chest', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%', '40.0%']","['Bench', 'Dumbbell']"
barbell-clean-and-press,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '100.0%', '100.0%', '100.0%', '100.0%']",['Barbell']
kettlebell-lateral-lunge,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']",['Kettlebell']
tricep-push-up,"['back_hamstrings', 'front_chest']","['100.0%', '100.0%']",['Bodyweight']
heisman,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Bodyweight']
band-reverse-curl,"['back_forearms', 'front_biceps', 'front_forearms']","['40.0%', '100.0%', '40.0%']",['Bands']
straddle-stretch,"['back_hip_adductors', 'back_hamstrings', 'front_hip_adductors']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
bunny-hop,"['back_calves', 'front_quads']","['100.0%', '40.0%']",['Bodyweight']
kettlebell-lying-reverse-fly,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
trx-single-arm-reach-and-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['trx']
yoga-ball-single-leg-curl,"['back_glutes', 'back_hamstrings']","['40.0%', '100.0%']",['Yoga Ball']
machine-pull-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
barbell-snatch-pull,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_traps']","['40.0%', '40.0%', '100.0%', '100.0%', '100.0%']",['Barbell']
dumbbell-squat-hold,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Dumbbell']
band-alternating-lateral-front-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bands']
barbell-snatch-grip-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_traps']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Barbell']
lat-stretch,['back_lats'],['100.0%'],['Bodyweight']
single-leg-machine-hamstring-curl,['back_hamstrings'],['100.0%'],['Machine']
dumbbell-superman-hold,"['back_lower_back', 'back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Dumbbell']
barbell-hex-bar-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']","['Barbell', 'Hex Bar']"
dumbbell-crunch,['front_abs'],['100.0%'],['Dumbbell']
kettlebell-standing-iyt,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
barbell-bent-over-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Barbell']
barbell-upright-row,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '40.0%']",['Barbell']
kettlebell-skull-crusher,['back_hamstrings'],['100.0%'],"['Bench', 'Kettlebell']"
band-one-arm-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Bands']
barbell-forward-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Barbell']
alternating-band-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bands', 'Bench']"
band-thruster,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Bands']
kettlebell-step-up-to-lateral-leg-raise,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors', 'front_quads']","['100.0%', '40.0%', '40.0%', '100.0%']","['Box', 'Kettlebell']"
kettlebell-yoga-ball-upper-body-windshield-wiper,"['back_hamstrings', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Kettlebell', 'Yoga Ball']"
dumbbell-wrist-curl-extension,"['back_forearms', 'front_forearms']","['100.0%', '100.0%']",['Dumbbell']
sleeper-stretch,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bodyweight']
cable-lumberjack-high-to-low,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Cables']
floor-leg-abduction,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
barbell-thruster,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Barbell']
yoga-ball-band-lateral-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']","['Bands', 'Yoga Ball']"
west-side-kettlebell-box-squat,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Kettlebell']
seated-cable-curl,['front_biceps'],['100.0%'],['Cables']
ladder-hop,['back_calves'],['100.0%'],['Ladder']
extended-dog-stretch,"['back_lats', 'back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
machine-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Machine']
bodyweight-v-up-hold,['front_abs'],['100.0%'],['Bodyweight']
barbell-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Barbell']
seated-kettlebell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
dumbbell-step-down,"['back_glutes', 'front_quads']","['100.0%', '100.0%']","['Box', 'Dumbbell']"
trx-pistol-squat,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['trx']
barbell-overhead-squat,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Barbell']
turkish-get-up-to-bridge,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
single-leg-bodyweight-box-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
med-ball-superman,"['back_lower_back', 'back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Medball']
leg-cross-body-stretch,"['back_glutes', 'back_lower_back']","['100.0%', '40.0%']",['Bodyweight']
dumbbell-hip-thrust,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Bench', 'Dumbbell']"
single-leg-med-ball-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Medball']
alternating-dumbbell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
single-leg-dumbbell-deadlift-to-press,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_biceps', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Dumbbell']
trx-face-pull,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['trx']
dumbbell-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
ball-toe-tap,"['back_calves', 'back_glutes', 'front_hip_flexors']","['40.0%', '40.0%', '100.0%']",['Bodyweight']
barbell-clean-and-jerk,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '100.0%', '100.0%', '100.0%', '100.0%']",['Barbell']
assisted-dip,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '40.0%']","['Dip Bar', 'Machine']"
med-ball-reverse-half-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Medball']
side-plank,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
med-ball-ball-rainbow-slam,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Medball']
prone-frog-kick,['back_lower_back'],['100.0%'],['Bodyweight']
half-kneeling-cable-chest-fly-low-to-high,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Cables']
single-dumbbell-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%', '40.0%']",['Dumbbell']
band-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '100.0%']",['Bands']
barbell-snatch,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['40.0%', '100.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Barbell']
standing-balance-reverse-toe-tap,"['back_glutes', 'front_quads']","['40.0%', '100.0%']",['Bodyweight']
dumbbell-one-arm-snatch,"['back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['40.0%', '40.0%', '100.0%', '40.0%', '40.0%']",['Dumbbell']
band-lying-alternating-arm-leg-reach,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '100.0%']",['Bands']
kettlebell-bent-over-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Kettlebell']
cable-lat-pulldown,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
single-kettlebell-turkish-get-up,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Kettlebell']
half-kneeling-med-ball-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Medball']
sled-push,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
bosu-mountain-climber,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bosu']
barbell-clean,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Barbell']
single-arm-split-stance-cable-incline-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '100.0%']",['Cables']
dumbbell-calf-raise,['back_calves'],['100.0%'],['Dumbbell']
push-up-hold,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['Bodyweight']
med-ball-decline-bench-press,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']","['Bench', 'Medball']"
push-up-position-leg-raise,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
cable-leg-abduction,"['back_hip_abductors', 'front_hip_abductors']","['100.0%', '100.0%']",['Cables']
unilateral-dumbbell-hammer-curl-to-press,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Dumbbell', 'Hammer']"
barbell-preacher-curl,['front_biceps'],['100.0%'],['Barbell']
single-kettlebell-goblet-single-kettlebell-press,"['back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Kettlebell']
dumbbell-bulgarian-split-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']","['Box', 'Dumbbell']"
jump-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
calf-roller,['back_calves'],['100.0%'],['Roller']
unilateral-barbell-landmine-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']","['Barbell', 'Landmine']"
dumbbell-overhead-lunge,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Dumbbell']
hamstring-roller,['back_hamstrings'],['100.0%'],['Roller']
single-kettlebell-internal-rotation,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
yoga-ball-low-balance,"['back_hamstrings', 'front_abs', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Yoga Ball']
split-stance-cable-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Cables']
med-ball-sumo-goblet-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Medball']
top-half-barbell-curl,['front_biceps'],['100.0%'],['Barbell']
forward-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
dumbbell-turkish-get-up-to-bridge,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Dumbbell']
trx-push-up-hold,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['trx']
a-skip,['front_hip_flexors'],['100.0%'],['Bodyweight']
single-leg-kettlebell-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Kettlebell']
b-skip,['front_hip_flexors'],['100.0%'],['Bodyweight']
kettlebell-bent-over-w-raise,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
med-ball-decline-sit-up,['front_abs'],['100.0%'],"['Bench', 'Medball']"
machine-hammer-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Machine', 'Hammer']"
incline-push-up,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Bodyweight']
med-ball-reverse-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Medball']
