Exercise,Muscle Groups,Engagement Percentages,Equipment
half-kneeling-med-ball-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Medball']
barbell-floor-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']",['Barbell']
half-barbell-curl,['front_biceps'],['100.0%'],['Barbell']
kettlebell-wide-bent-over-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Kettlebell']
tibialis-roller,['front_tibialis'],['100.0%'],['Roller']
single-arm-landmine-push-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']","['Barbell', 'Landmine']"
broad-jump,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
reverse-plank,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
dumbbell-turkish-get-up,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Dumbbell']
kettlebell-lunge-to-donkey-kick,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
burpee,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_abs', 'front_chest', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
med-ball-curl-switch,"['back_hamstrings', 'front_biceps', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%', '40.0%']",['Medball']
cable-overhead-row,['back_lats'],['100.0%'],['Cables']
toes-to-bar,['front_abs'],['100.0%'],['Pull-Up Bar']
tuck-jump,"['back_glutes', 'front_hip_flexors', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
knee-to-chest-stretch,"['back_glutes', 'back_lower_back']","['40.0%', '100.0%']",['Bodyweight']
yoga-ball-band-sit-up,['front_abs'],['100.0%'],"['Bands', 'Yoga Ball']"
slider-inchworm-to-push-up,"['back_hamstrings', 'front_abs', 'front_chest', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
single-kettlebell-lying-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '40.0%']",['Kettlebell']
lateral-gorilla-crawl,"['back_hip_abductors', 'back_hip_adductors', 'back_hamstrings', 'front_hip_abductors', 'front_hip_adductors', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%', '40.0%', '100.0%']",['Bodyweight']
pull-up-bar-l-sit-hold,"['back_lats', 'front_abs', 'front_hip_flexors']","['100.0%', '100.0%', '40.0%']",['Pull-Up Bar']
kettlebell-upright-row,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '40.0%']",['Kettlebell']
x-trx-reverse-fly,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['trx']
med-ball-box-jump,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']","['Box', 'Medball']"
cable-decline-row,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_biceps', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '100.0%', '100.0%']",['Cables']
barbell-snatch-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Barbell']
ladder-hopscotch,['back_calves'],['100.0%'],['Ladder']
single-leg-row-reach,"['back_glutes', 'back_lats', 'back_hamstrings']","['100.0%', '100.0%', '100.0%']",['Bands']
barbell-hang-snatch,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Barbell']
reverse-crunch,"['front_abs', 'front_hip_flexors']","['100.0%', '100.0%']",['Bodyweight']
single-kettlebell-turkish-get-up-to-bridge,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Kettlebell']
single-arm-split-stance-decline-row,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_biceps', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '100.0%', '100.0%']",['Cables']
bodyweight-leg-extension,['front_quads'],['100.0%'],['Bodyweight']
barbell-sumo-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Barbell']
staggered-stance-kettlebell-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Kettlebell']
dumbbell-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Dumbbell']
kettlebell-face-pull,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
landmine-push-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']","['Barbell', 'Landmine']"
med-ball-v-up-hold,['front_abs'],['100.0%'],['Medball']
side-straddle-stretch,"['back_lats', 'back_lower_back', 'back_hamstrings']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
single-kettlebell-v-up-hold,['front_abs'],['100.0%'],['Kettlebell']
dumbbell-front-squat,"['back_glutes', 'back_hamstrings', 'front_hip_flexors', 'front_quads']","['100.0%', '100.0%', '40.0%', '100.0%']",['Dumbbell']
dumbbell-superman,"['back_lower_back', 'back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Dumbbell']
band-internal-rotation,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bands']
single-kettlebell-floor-tricep-cycle,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '40.0%']",['Kettlebell']
med-ball-standing-figure-8,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Medball']
tricep-roller,['back_hamstrings'],['100.0%'],['Roller']
band-lateral-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bands']
band-hamstring-curl,['back_hamstrings'],['100.0%'],['Bands']
dumbbell-double-windmill,"['back_lower_back', 'back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '40.0%', '100.0%', '40.0%']",['Dumbbell']
kettlebell-kickback,['back_hamstrings'],['100.0%'],['Kettlebell']
barbell-hip-thrust,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']","['Barbell', 'Bench']"
cable-archer-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '40.0%', '40.0%', '40.0%']",['Cables']
bodyweight-seated-hip-rotation-to-glute-squeeze,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
yoga-ball-single-kettlebell-crunch,['front_abs'],['100.0%'],"['Kettlebell', 'Yoga Ball']"
med-ball-thruster,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Medball']
dumbbell-toe-touch-crunch,['front_abs'],['100.0%'],['Dumbbell']
superman-hold,"['back_lower_back', 'back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Bodyweight']
bodyweight-turkish-get-up,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_shoulders']","['40.0%', '40.0%', '100.0%', '40.0%']",['Bodyweight']
barbell-power-snatch,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['40.0%', '100.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Barbell']
walk,"['back_calves', 'back_glutes', 'back_hamstrings', 'front_quads']","['40.0%', '40.0%', '40.0%', '100.0%']",['Bodyweight']
half-kneeling-band-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bands']
med-ball-back-extension,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '40.0%']",['Medball']
kettlebell-waiters-carry,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
barbell-step-up-to-reverse-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']","['Barbell', 'Box']"
barbell-wrist-curl-extension,"['back_forearms', 'front_forearms']","['100.0%', '100.0%']",['Barbell']
